City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
421,Fortuna,US,61.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
423,Bay City,US,78.49,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
424,Myra,IT,58.84,clear sky,45.4358,12.1348,Villa Gasparini
425,Catuday,PH,81.91,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
426,Ylojarvi,FI,50.63,overcast clouds,61.5563,23.5961,Hotel Lamminpää
428,San Quintin,MX,71.87,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
434,Langholm,GB,52.56,overcast clouds,55.151,-2.9989,Crown Hotel
437,Caloundra,AU,66.88,scattered clouds,-26.8,153.1333,Watermark Resort Caloundra
438,Tabou,CI,78.94,overcast clouds,4.423,-7.3528,hotêl doufoulougou
439,San Isidro,PE,67.24,broken clouds,-12.1167,-77.05,Soul Mate-Inn
441,Praya,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
442,Honiara,SB,78.42,broken clouds,-9.4333,159.95,Heritage Park Hotel
443,Sita Road,PK,87.8,clear sky,27.0333,67.85,Dubai Cafe Hotel
444,Shagamu,NG,82.18,light rain,6.8432,3.6478,Remo Majestic Hotel
445,Santa Isabel Do Rio Negro,BR,98.22,scattered clouds,-0.4139,-65.0192,Hotel GSA
446,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,Kost Pria
447,Ubeda,ES,72.7,broken clouds,38.0133,-3.3705,"Palacio del Deán Ortega, Úbeda"
448,Alexandria,EG,76.59,clear sky,31.2156,29.9553,Royal Crown Hotel
449,Chechat,IN,80.15,scattered clouds,24.7667,75.8833,"Shri raghunath palace, hotal & restrorent"
450,Rawson,AR,72.95,clear sky,-43.3002,-65.1023,Hosteria Sampedro
451,Dondo,MZ,73.44,clear sky,-19.6094,34.7431,Arco Iris
452,Nagato,JP,76.91,clear sky,34.3833,131.2,いそう庵
454,Sarankhola,BD,79.12,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
455,Sibolga,ID,76.32,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
457,Wilmington,US,75.97,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
459,San-Pedro,CI,78.17,overcast clouds,4.7485,-6.6363,Hotel Maria
462,Kotaparh,IN,70.83,clear sky,19.15,82.35,Atul Pattnaik
463,Saint-Jean-De-Braye,FR,56.91,clear sky,47.913,1.9771,Novotel Orléans Saint-Jean-de-Braye
464,Shaowu,CN,70.2,broken clouds,27.3409,117.4831,Yijie Express Hotel
466,Innisfail,AU,68.81,few clouds,-17.5333,146.0333,Moondarra Motel
467,Naze,JP,77.52,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
468,Otaki,NZ,54.84,scattered clouds,-40.7583,175.15,Sundari Retreat
471,Altamira,BR,91.49,broken clouds,-3.2033,-52.2064,Requinte Hotel
472,Dunedin,NZ,52.81,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
473,Canico,PT,76.01,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
474,Pandan,PH,79.75,overcast clouds,14.0453,124.1694,Bonifacio Lodge
475,Palmer,US,64.51,overcast clouds,42.1584,-72.3287,Wedgewood Motel
476,Manokwari,ID,77.65,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
477,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
478,Lebu,CL,56.71,broken clouds,-37.6167,-73.65,Hostal Las Lilas
480,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
484,Manitouwadge,CA,64.18,overcast clouds,49.1215,-85.8403,Select Inn
485,Silvia,CO,65.79,broken clouds,2.611,-76.3785,Hotel de Turismo Silvia
486,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
487,Antalaha,MG,68.25,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
488,Bustamante,MX,97.97,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
489,Nueva Imperial,CL,56.05,broken clouds,-38.7333,-72.95,Hotel Ruta Costera
490,Castro,BR,57.81,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
491,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
492,Thiruvananthapuram,IN,78.78,moderate rain,8.4833,76.9167,Hotel Residency Tower
494,Khawhai,IN,59.94,scattered clouds,23.3667,93.1167,Homestay Khawhai
496,Hanzhong,CN,50.47,overcast clouds,33.0728,107.0303,Guorui Hotel
498,Najran,SA,79.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
499,Marsa Matruh,EG,74.79,clear sky,31.3525,27.2453,Beau Site
500,Sayyan,YE,65.28,broken clouds,15.1718,44.3244,متنزه و بحيرة سيان
501,Minab,IR,85.5,clear sky,27.1467,57.0801,Bam campground
502,Acari,PE,76.48,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
503,Bereda,ES,60.55,clear sky,43.2686,-7.5406,Pazo de Verdes
504,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
505,Pemangkat,ID,81.7,overcast clouds,1.1667,108.9667,Ramah Kost KITA
506,Ailigandi,PA,84.2,scattered clouds,9.2333,-78.0167,Akwa Reef Lodge
507,Buchanan,LR,82.36,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
510,Faanui,PF,79.57,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
512,Flin Flon,CA,53.44,smoke,54.7682,-101.865,Victoria Inn Flin Flon
515,Loralai,PK,65.41,clear sky,30.3705,68.598,Sana Poultry Loralai
518,Horizontina,BR,73.74,broken clouds,-27.6258,-54.3078,Hotel Avenida
519,Alta Floresta,BR,93.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
521,Hambantota,LK,80.4,overcast clouds,6.1241,81.1185,Bungalow 63
524,Tirumullaivasal,IN,78.89,overcast clouds,11.2333,79.8333,Almupaark complex
525,Karangampel,ID,80.56,scattered clouds,-6.4622,108.4519,ROOFTOP WAG ALL
526,Harper,LR,79.03,overcast clouds,4.375,-7.7169,Screensaver
527,Camana,PE,67.98,scattered clouds,-16.6228,-72.7111,Hostal Morales
528,Thung Song,TH,80.58,broken clouds,8.1645,99.6804,Jasmine Resort And Spa
530,Bundaberg,AU,69.22,scattered clouds,-24.85,152.35,Takalvan Motel
531,Largo,US,88.14,scattered clouds,27.9095,-82.7873,Hampton Inn & Suites Largo
532,Tuatapere,NZ,51.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
533,Anacortes,US,56.3,broken clouds,48.5126,-122.6127,Anaco Bay Inn
534,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
535,Constitucion,CL,60.17,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
536,Bondoukou,CI,76.82,light rain,8.0333,-2.8,Prestige Hotel
