City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Guerrero Negro,MX,27.9769,-114.0611,76.93,47,0,6.31,clear sky
190,Chipata,ZM,-13.6333,32.65,80.58,25,47,9.35,scattered clouds
191,Hammerfest,NO,70.6634,23.6821,46.13,93,75,3.44,broken clouds
192,Carnarvon,AU,-24.8667,113.6333,64.47,77,0,16.11,clear sky
193,Ulagan,RU,50.6321,87.9563,27.01,86,68,2.66,broken clouds
194,Bethel,US,41.3712,-73.414,63.93,88,90,3.0,overcast clouds
195,Esperance,AU,-33.8667,121.9,54.86,54,91,17.83,overcast clouds
196,Valparaiso,CL,-33.0393,-71.6273,71.83,54,0,6.91,clear sky
197,Bridgetown,BB,13.1,-59.6167,82.89,83,40,21.85,scattered clouds
198,Inhambane,MZ,-23.865,35.3833,69.37,62,98,18.05,overcast clouds
199,Verkhniy Avzyan,RU,53.5289,57.5372,41.25,91,100,2.91,overcast clouds
200,Bengkulu,ID,-3.8004,102.2655,76.41,90,60,4.99,broken clouds
201,Ardakan,IR,32.31,54.0175,64.78,27,0,7.0,clear sky
202,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,21.85,scattered clouds
203,Acapulco,MX,16.8634,-99.8901,87.62,66,75,8.05,broken clouds
204,Muros,ES,42.7762,-9.0603,70.09,50,1,13.44,clear sky
205,Magdagachi,RU,53.45,125.8,33.94,76,22,6.58,few clouds
206,Lusambo,CD,-4.9667,23.45,77.83,63,90,2.75,overcast clouds
207,Tilichiki,RU,60.4667,166.1,25.3,83,80,5.59,broken clouds
208,Kanniyakumari,IN,8.0833,77.5667,80.53,84,100,16.8,overcast clouds
209,Ilulissat,GL,69.2167,-51.1,33.82,75,20,3.44,light shower snow
210,Lazaro Cardenas,MX,17.9583,-102.2,85.17,67,96,5.12,overcast clouds
211,Henties Bay,NA,-22.116,14.2845,60.85,64,4,3.65,clear sky
212,Kihei,US,20.785,-156.4656,77.02,84,40,8.05,scattered clouds
213,Axim,GH,4.8699,-2.2405,77.27,88,100,8.5,light rain
214,Anapolis,BR,-16.3267,-48.9528,83.8,51,75,4.61,thunderstorm
215,Pinega,RU,64.7001,43.3936,49.33,95,100,10.4,overcast clouds
216,Saint-Joseph,RE,-21.3667,55.6167,71.96,84,19,9.08,few clouds
217,Road Town,VG,18.4167,-64.6167,84.24,79,40,11.5,scattered clouds
218,Chumikan,RU,54.7183,135.315,38.21,92,100,4.47,light rain
219,San Ignacio,BZ,17.1561,-89.0714,89.74,66,75,4.61,broken clouds
220,Koluszki,PL,51.7387,19.8199,45.97,68,32,6.78,scattered clouds
221,Yuma,US,32.7253,-114.6244,83.88,19,1,12.66,clear sky
222,Kirakira,SB,-10.4544,161.9205,77.36,87,99,2.37,overcast clouds
223,Uige,AO,-7.6087,15.0613,73.96,79,84,1.68,broken clouds
224,Ilmatsalu,EE,58.3881,26.5593,48.45,55,90,6.91,overcast clouds
225,Onega,RU,63.9061,38.1404,50.14,92,100,12.91,light rain
226,Santa Flavia,IT,38.085,13.5351,67.73,55,6,11.01,clear sky
227,San Cristobal,VE,7.7669,-72.225,80.78,49,79,0.29,broken clouds
228,Lasa,IT,46.6166,10.7002,55.31,69,0,7.56,clear sky
229,Touros,BR,-5.1989,-35.4608,86.9,55,54,13.73,broken clouds
230,Namatanai,PG,-3.6667,152.4333,79.11,79,24,4.29,few clouds
231,Half Moon Bay,US,37.4636,-122.4286,74.95,65,1,1.01,clear sky
232,Mahebourg,MU,-20.4081,57.7,71.89,94,75,8.05,light rain
233,Tautira,PF,-17.7333,-149.15,80.62,75,69,8.99,broken clouds
